Quarter/Year,Revenues (US$mn),Revenues For Year (US$mn),Revenues (US$mn) [Constant currency],EBIT (US$mn),PAT (US$mn),Selling and Marketing Expense (US$mn),Other Income (US$mn),Income Tax (US$mn),S&M Expense/Revenue (%),Revenue (INRmn),EBITDA (INRmn),PAT (INRmn),Selling and Marketing Expense (INRmn),Other Income(INRmn),Income Tax(INRmn),Revenue from Manufacturing (%),"Revenue from Insurance, finance and banking (%)",Revenue from Telecom (%),Revenue from Retailing & CPG (%),Revenue from Other Verticals (%),Revenue from Life sciences (%),Revenue from Healthcare (%),Revenue from Application development (%),Revenue from Application maintenance (%),Revenue from Package implementation (%),Revenue from Testing services (%),Revenue from Product engineering services (%),Revenue from Business process management (%),Revenue from Infrastructure management (%),Revenue from Other services (%),"Revenue from Products, platforms and solutions (%)",Revenue from Products (%),Revenue from BPM platform (%),Revenue from Others (%),Revenue from New Services (%),Revenue from New Software(%),Revenue from North America (%),Revenue from Europe (%),Revenue from India (%),Revenue from Rest of the world(%),Project Type T&M (%),Project Type Fixed price (%),Staff utilisation (%) (including trainees),Revenue from Onsite (%),Revenue from Offshore (%),Revenue from Top client (%),Revenue from Top 5 clients (%),Revenue from top 10 clients (%),Number of clients,New Client Additions,Client Attrition,Client Attrition (%),New Client (%),US$1mn,US$5mn,US$10mn,US$25mn+,US$50mn,US$75mn+,US$100mn,US$200mn,US$300mn,Employee strength,Billable,Trainees,Product Group,Sales and Support,Sales and Support Staff (%),Gross Addition,lateral addition,Attrition,Net Addition,Net Addition (%),Consolidated Attrtion rate (%),Guidance min(US$mn),Guidance max(US$mn),Rupee Dollar Average,Seats Completed,Seats WIP,Land Aquired(acres),Result Announcement Date,Adjusted Stock Price at close (INR),Change in stock price (%),Revenue per employee (USD$K),Revenue per billable employee (USD$K),Attrition (%),New Additions (%),laterals in new additions (%),freshers in new additions (%),revenue in USD growth QoQ (%),revenue in INR growth QoQ (%),revenue in constant currency growth (%),Margin for USD(%),EPS (INR),EPS (USD),Cash (US$mn),Chief Officer
4QFY11,1602,6041,1597,464,402,88,92,154,5.49%,72500,21020,18180,4000,4150,6990,20.40,35.70,11.90,14.50,12.70,3.70,1.10,16.10,22.00,31.70,7.30,2.40,4.90,6.10,3.00,6.40,5.40,0.70,0.30,,,63.70,22.10,2.70,11.50,59.00,41.00,68.40,49.30,50.70,4.70,15.50,24.60,620,34,26,4.25%,5.56%,366,187,126,53,28,34,11,2,0,130820,109026,8565,6220,7009,5.36%,8930,3591,5889,3041,2.38%,17.00,1601,1617,45.25,122997,39696,267.28,15-04-2011,747.38,-9.58,48.98,46.76,18.43%,27.95%,40.21%,59.79%,1.07%,2.03%,1.98%,25.09%,31.82,0.1707,3737,Gopalakrishnan
1QFY12,1671,6354,1651,435,384,89,99,150,5.33%,74850,19520,14880,3980,4430,6730,20.30,35.40,10.60,16.10,12.80,3.70,1.10,16.10,22.30,31.70,7.50,3.20,5.40,5.90,2.80,5.10,4.80,0.00,0.30,,,64.20,21.30,2.60,11.90,60.90,39.10,69.60,50.70,49.30,4.50,15.90,25.20,628,26,18,2.90%,4.19%,374,183,125,54,32,37,11,2,0,133560,111667,7624,6838,7431,5.56%,9922,4044,7182,2740,2.09%,15.80,1643,1659,44.78,126470,36223,6.31,12-07-2011,697.89,-4.44,50.04,47.61,21.96%,30.34%,40.76%,59.24%,4.31%,3.24%,3.38%,22.98%,30.14,0.1681,3784,Gopalakrishnan
2QFY12,1746,6604,1754,490,411,98,85,164,5.61%,80990,22810,19060,4560,3870,7620,20.20,35.30,10.40,15.60,12.90,3.80,1.80,17.10,21.60,31.20,8.20,3.40,5.40,5.80,2.80,4.50,4.20,0.00,0.30,,,65.30,20.50,2.20,12.00,62.30,37.70,70.20,49.90,50.10,4.60,15.90,25.20,647,45,26,4.14%,7.17%,388,188,128,59,35,38,11,2,1,141822,113810,12599,7738,7657,5.40%,15352,2318,7090,8262,6.19%,15.60,1730,1755,46.30,126640,38203,45.85,12-10-2011,669.84,6.98,49.24,46.70,21.23%,45.98%,15.10%,84.90%,4.49%,8.20%,6.24%,23.54%,33.36,0.1926,3784,Shibulal
3QFY12,1806,6825,1823,560,458,88,82,184,4.87%,92980,28990,23720,4510,4220,9490,20.40,35.30,9.80,15.20,13.40,4.10,1.80,17.10,21.80,30.60,7.90,3.60,4.40,6.10,2.70,5.90,4.80,0.80,0.30,,,63.70,22.60,2.10,11.60,59.10,40.90,69.90,49.50,50.50,4.10,15.00,24.50,665,49,31,4.79%,7.57%,391,193,134,61,39,40,13,2,1,145088,116157,12931,8086,7914,5.45%,9655,3863,6389,3266,2.30%,15.40,1802,1840,51.37,127792,40721,9.65,12-01-2012,647.07,-8.43,49.79,47.16,18.02%,27.23%,40.01%,59.99%,3.44%,14.80%,3.93%,25.36%,41.51,0.2090,3671,Shibulal
4QFY12,1771,6994,1767,528,463,91,131,196,5.14%,88520,26470,23160,4520,6520,9830,21.30,34.30,10.10,15.80,13.00,3.90,1.60,16.90,20.90,31.10,7.80,3.40,4.80,6.20,2.70,6.20,4.40,1.40,0.40,,,62.40,23.10,2.00,12.50,60.60,39.40,67.20,49.60,50.40,4.10,15.40,24.40,694,52,23,3.46%,7.82%,399,190,132,64,40,40,13,2,1,149994,124953,8696,8139,8206,5.47%,10676,4727,5770,4906,3.38%,14.70,1806,1810,49.96,139331,39950,370.82,13-04-2012,600.64,-12.66,47.23,44.80,15.91%,29.43%,44.28%,55.72%,-1.94%,-4.80%,-3.07%,26.14%,40.54,0.1814,4047,Shibulal
1QFY13,1752,7075,1763,489,416,86,87,160,4.91%,96160,26930,22890,4690,4760,8800,22.50,33.70,8.50,15.80,12.40,4.70,2.40,17.10,20.90,29.90,8.30,3.50,4.90,6.60,2.70,6.10,4.50,1.30,0.30,,,64.10,21.40,2.00,12.50,62.00,38.00,67.20,49.60,50.40,4.10,16.20,25.30,711,51,34,4.90%,7.35%,403,199,132,64,41,34,12,3,1,151151,128887,5385,8097,8782,5.81%,9236,5233,8079,1157,0.77%,14.90,1771,1789,54.83,147646,33863,10.42,12-07-2012,566.10,-8.36,46.36,44.01,21.54%,24.63%,56.66%,43.34%,-1.07%,8.63%,-0.23%,23.74%,40.06,0.1879,3242,Shibulal
2QFY13,1797,7126,1794,472,431,92,129,170,5.12%,98580,25970,23690,5060,7060,9340,22.10,33.70,9.90,17.00,12.00,3.90,1.40,17.00,21.40,30.00,8.60,3.40,4.70,6.80,2.60,5.50,3.80,1.30,0.40,,,63.90,21.90,1.60,12.60,59.60,40.40,69.60,50.70,49.30,4.00,16.00,25.40,715,39,35,4.92%,5.49%,413,205,134,61,40,33,11,3,0,153761,132341,4734,7677,9009,5.86%,10420,3656,7810,2610,1.73%,15.00,NA,NA,54.85,150996,36223,4.31,12-10-2012,598.84,-5.44,46.75,44.52,20.67%,27.58%,35.09%,64.91%,2.57%,2.52%,1.76%,23.98%,41.46,0.1801,3265,Shibulal
3QFY13,1911,7231,1902,491,434,99,92,149,5.18%,104240,26770,23690,5410,5030,8110,21.70,33.70,9.60,16.00,12.70,4.80,1.50,15.80,20.00,32.60,8.40,3.20,5.20,6.90,2.40,5.50,3.90,1.30,0.30,,,61.00,24.00,2.20,12.80,58.70,41.30,70.10,51.40,48.60,3.60,14.60,23.90,776,89,28,3.92%,12.45%,419,209,136,62,40,35,12,3,0,155629,134660,4130,7460,9379,6.03%,8390,4351,6522,1868,1.21%,15.10,NA,NA,54.55,153378,34843,4.53,11-01-2013,678.03,16.78,49.12,46.87,16.97%,21.83%,51.86%,48.14%,6.34%,5.74%,6.02%,22.71%,41.47,0.1921,2740,Shibulal
4QFY13,1938,7398,1944,457,444,96,125,138,4.95%,104540,24620,23940,5180,6740,7420,22.20,33.90,9.30,15.40,12.50,4.80,1.90,15.50,19.90,32.70,8.30,3.20,5.20,7.20,2.30,5.70,4.00,1.30,0.40,,,60.20,25.00,2.40,12.40,59.80,40.20,70.90,52.10,47.90,3.60,14.70,24.00,798,56,34,4.38%,7.22%,448,213,137,62,40,36,12,3,0,156688,135392,4367,7249,9680,6.18%,8990,3545,7931,1059,0.68%,16.30,NA,NA,53.93,153498,52126,119.35,12-04-2013,514.17,-21.26,49.47,47.29,20.38%,23.11%,39.43%,60.57%,1.41%,0.29%,2.21%,22.91%,41.89,0.1921,4021,Shibulal
1QFY14,1991,7637,2005,468,418,103,103,153,5.17%,112670,26640,23740,5840,5770,8670,22.50,33.70,8.50,15.80,12.40,4.70,2.40,15.70,19.30,33.60,8.40,3.20,5.10,7.00,2.30,5.40,3.70,1.20,0.50,,,61.40,23.60,2.60,12.40,59.90,40.10,70.70,57.50,42.50,3.90,14.90,24.00,836,66,28,3.51%,8.27%,466,215,139,64,41,39,15,3,0,157263,134266,6306,7004,9687,6.16%,10138,3008,9563,575,0.37%,16.90,NA,NA,56.56,155045,52126,0.00,12-07-2013,701.05,10.91,50.64,48.48,24.41%,25.88%,29.67%,70.33%,2.73%,7.78%,3.14%,20.99%,41.54,0.1973,3556,Murthy
2QFY14,2066,7906,2074,451,383,120,81,149,5.81%,129650,28370,24070,7570,5100,9400,23.20,33.40,8.30,15.70,12.70,4.60,2.10,16.00,19.10,33.30,8.40,3.30,5.10,7.20,2.30,5.30,3.70,1.20,0.40,,,61.50,24.00,2.40,12.10,59.80,40.20,73.10,56.60,43.40,3.90,15.00,24.50,873,68,31,3.71%,8.13%,469,221,146,66,40,39,15,3,0,160227,136426,7483,6580,9738,6.08%,12168,3806,9204,2964,1.88%,17.30,NA,NA,62.77,159422,44425,13.88,11-10-2013,818.63,4.79,51.58,49.54,23.41%,30.95%,31.28%,68.72%,3.77%,15.07%,3.44%,18.54%,42.12,0.1697,3601,Murthy
3QFY14,2100,8095,2091,526,463,104,117,180,4.95%,130260,32590,28750,6440,7310,1115,22.80,33.50,7.90,16.00,12.80,5.00,2.00,15.90,19.20,33.40,8.70,3.20,5.30,6.90,2.10,5.30,3.80,1.10,0.40,,,60.00,24.90,2.60,12.50,59.00,41.00,72.50,51.10,48.90,3.70,14.10,23.50,888,54,39,4.47%,6.19%,495,226,148,69,41,38,15,4,1,158404,135869,5894,6977,9664,6.10%,6682,3333,8505,-1823,-1.14%,18.10,NA,NA,62.03,168653,37185,14.89,10-01-2014,887.82,2.91,53.03,50.79,21.23%,16.68%,49.88%,50.12%,1.65%,0.47%,0.82%,22.05%,50.32,0.2043,3712,Murthy
4QFY14,2092,8249,2091,534,487,104,139,186,4.97%,128750,32810,29920,6400,8510,1140,23.00,33.50,8.60,15.50,12.80,4.70,1.90,15.50,19.40,32.50,9.20,3.40,5.50,7.20,2.20,5.10,3.50,1.20,0.40,,,59.80,25.20,2.60,12.40,58.40,41.60,72.90,54.70,45.30,3.60,14.10,23.40,890,50,48,5.41%,5.63%,501,232,148,78,42,24,13,3,1,160405,137391,7414,6254,9346,5.83%,10997,2100,8996,2001,1.26%,18.70,NA,NA,61.62,177130,29248,0.00,15-04-2014,814.95,0.76,52.17,50.21,22.72%,27.77%,19.10%,80.90%,-0.38%,-1.16%,0.00%,23.28%,52.36,0.1906,4331,Murthy
1QFY15,2133,8391,2124,536,482,111,139,193,5.20%,127700,32110,28860,6660,8290,11540,23.20,33.40,8.70,15.80,12.40,4.60,1.90,15.80,18.70,32.30,9.50,3.40,5.30,7.90,2.30,4.80,3.20,1.20,0.40,,,60.80,24.50,2.40,12.30,59.90,40.10,74.80,54.50,45.50,3.40,13.70,22.90,910,61,41,4.61%,6.85%,520,235,148,78,43,24,12,3,1,161284,137038,9089,5721,9436,5.85%,11506,3954,10627,879,0.55%,19.50,NA,NA,59.85,175764,28330,41.20,11-07-2014,831.67,1.03,52.90,51.09,26.50%,28.69%,34.36%,65.64%,1.96%,-0.82%,1.58%,22.60%,50.51,0.2109,4164,Murthy
2QFY15,2201,8526,2217,575,511,127,144,208,5.77%,133420,34830,30960,7690,8770,12640,23.30,32.80,8.90,15.30,13.10,4.70,1.90,16.10,18.90,32.40,9.40,3.40,5.10,7.90,2.20,4.60,2.90,1.20,0.50,,,60.80,24.70,2.20,12.30,58.60,41.40,75.20,54.60,45.40,3.40,13.60,22.90,912,49,47,5.16%,5.38%,526,237,150,83,43,27,13,3,0,165411,140219,10159,5367,9666,5.84%,14255,4774,10128,4127,2.56%,20.10,NA,NA,60.63,184005,22196,55.50,10-10-2014,972.17,6.63,53.22,51.55,25.12%,35.35%,33.49%,66.51%,3.19%,4.48%,4.38%,23.22%,54.19,0.2235,4604,Sikka
3QFY15,2218,8644,2258,592,522,124,136,206,5.59%,137960,36890,32500,7700,8400,12790,23.40,33.10,8.70,14.90,12.80,5.10,2.00,14.90,19.50,32.60,9.10,3.40,5.40,8.20,2.30,4.60,2.90,1.10,0.60,,,61.60,24.00,2.50,11.90,57.10,42.90,75.70,54.80,45.20,3.20,13.30,22.40,932,59,39,4.28%,6.47%,532,240,154,83,46,29,14,4,0,169638,147125,7302,5345,9866,5.82%,13154,6094,8927,4227,2.56%,20.40,NA,NA,62.16,186829,24386,6.10,09-01-2015,1037.23,5.12,52.30,50.70,21.59%,31.81%,46.33%,53.67%,0.77%,3.40%,1.85%,23.53%,28.44,0.2354,5080,Sikka
4QFY15,2159,8711,2208,555,498,118,141,198,5.47%,134110,34490,30970,7360,8810,12320,23.80,33.60,8.30,15.10,12.40,5.10,1.70,14.30,19.70,32.70,8.90,3.50,5.30,8.10,2.50,5.00,3.40,1.00,0.60,,,62.80,23.10,2.50,11.60,56.20,43.80,72.80,55.20,44.80,3.50,13.90,22.70,950,52,34,3.65%,5.58%,529,244,159,83,47,29,15,4,0,176187,154504,6185,5357,10141,5.76%,14471,8334,7922,6549,3.86%,18.90,NA,NA,62.08,186493,24328,6.30,24-04-2015,997.60,-5.98,49.02,47.57,18.68%,34.12%,57.59%,42.41%,-2.66%,-2.79%,-2.21%,23.07%,27.10,0.2118,4859,Sikka
1QFY16,2256,8834,2254,541,476,129,119,184,5.72%,143540,34470,30300,8200,7580,11750,24.00,33.10,8.40,15.00,11.90,5.60,2.00,14.00,19.90,32.80,8.90,3.50,5.00,8.30,2.70,4.90,3.20,1.40,0.30,,,63.20,22.40,2.20,12.20,57.60,42.40,75.70,56.10,43.90,3.70,14.00,23.00,987,79,42,4.42%,8.32%,535,248,161,83,49,28,14,6,1,179523,158025,5043,5515,10940,6.09%,11889,5886,8553,3336,1.89%,19.20,NA,NA,63.63,186372,29725,5.40,21-07-2015,1112.65,11.13,50.27,48.77,19.42%,26.99%,49.51%,50.49%,4.49%,7.03%,2.08%,21.10%,13.26,0.2090,4421,Sikka
2QFY16,2392,9025,2412,610,519,129,121,212,5.39%,156350,39930,33980,8430,7930,13870,23.80,32.80,7.90,14.90,12.80,5.90,1.90,14.00,19.60,32.80,9.00,3.30,4.90,8.70,2.80,4.90,2.80,1.00,1.10,,,63.30,22.90,2.30,11.50,56.00,44.00,75.40,56.10,43.90,3.70,14.00,22.80,1011,82,58,5.88%,8.31%,542,258,169,85,50,31,14,6,1,187976,162758,8983,5369,10866,5.78%,17595,7452,9142,8453,4.71%,19.90,NA,NA,65.36,188080,32446,3.40,12-10-2015,1122.90,-3.81,50.90,49.49,20.37%,39.20%,42.35%,57.65%,6.03%,8.92%,7.01%,21.70%,14.87,0.2291,4566,Sikka
3QFY16,2408,9215,2418,600,525,130,121,196,5.40%,159020,39590,34650,8590,8020,12960,22.80,33.50,8.00,14.70,13.30,5.80,1.90,14.10,19.10,33.80,9.20,3.40,4.90,7.50,3.00,5.00,3.00,0.90,1.10,,,62.50,23.20,2.80,11.50,55.40,44.60,74.20,56.50,43.50,3.50,13.90,22.60,1045,75,41,4.06%,7.42%,555,261,171,89,51,28,13,6,1,193383,167013,9833,5199,11338,5.86%,14027,6115,8620,5407,2.88%,18.10,NA,NA,66.05,196848,25377,1.00,14-01-2016,1133.00,4.58,49.81,48.50,18.34%,29.85%,43.59%,56.41%,0.67%,1.71%,0.25%,21.80%,15.16,0.2320,4455,Sikka
4QFY16,2446,9502,2452,625,533,134,114,206,5.48%,165500,42200,35970,9090,7720,13940,22.70,32.80,8.60,15.00,13.20,5.70,2.00,13.70,19.70,33.20,9.00,3.40,5.00,8.00,2.80,5.20,3.20,1.70,0.30,,,61.90,23.40,3.00,11.70,54.90,45.10,74.70,56.50,43.50,3.60,13.70,21.80,1092,89,42,4.02%,8.52%,558,268,177,88,52,31,14,6,1,194044,171109,6098,5122,11715,6.04%,9034,5266,8373,661,0.34%,17.30,NA,NA,67.72,197388,51271,1.00,15-04-2016,1238.70,5.63,50.42,49.12,17.32%,18.69%,58.29%,41.71%,1.58%,4.07%,1.41%,21.79%,15.74,0.2352,4935,Sikka
1QFY17,2501,9747,2489,602,511,137,112,203,5.48%,167820,40470,34360,9200,7530,13620,22.80,32.80,9.40,15.50,12.70,4.70,2.10,14.40,19.50,32.10,9.10,3.50,4.90,8.30,2.70,5.50,3.00,2.10,0.40,,,62.00,23.00,2.70,12.30,54.30,45.70,76.50,57.00,43.00,3.60,13.70,22.20,1126,95,61,5.59%,8.70%,574,268,180,87,52,31,17,6,1,197050,173154,6580,4910,12406,6.30%,13268,5260,10262,3006,1.55%,21.00,NA,NA,67.08,199413,56649,1.50,15-07-2016,1072.55,-8.82,50.77,49.53,21.15%,27.35%,39.64%,60.36%,2.25%,1.40%,1.51%,20.43%,15.03,0.2246,4598,Sikka
2QFY17,2587,9942,2599,644,540,134,114,218,5.18%,173100,43090,36090,8970,7600,14600,22.50,33.10,9.40,14.90,13.40,4.50,2.20,15.60,18.10,32.10,9.20,3.70,4.90,8.40,2.90,5.10,3.00,1.70,0.40,,,61.50,22.50,3.40,12.60,52.90,47.10,77.70,57.00,43.00,3.50,13.10,21.80,1136,78,68,6.04%,6.93%,577,277,186,89,54,30,18,6,1,199829,176334,6303,4958,12234,6.12%,12717,5752,9938,2779,1.41%,20.00,NA,NA,66.91,200231,68016,3.20,14-10-2016,1027.15,-2.39,51.78,50.53,20.17%,25.81%,45.23%,54.77%,3.44%,3.15%,4.42%,20.87%,15.77,0.2356,4763,Sikka
